"model","ic_id","time","x1","x2","x3"
"Lorenz",1,0,0.20088122226533,0.00977405691673048,0.123955375905638
"Lorenz",1,0.1,0.263549874774224,0.530665306524267,0.0998889949654864
"Lorenz",1,0.2,0.817626535458469,1.77757690077881,0.127964557355807
"Lorenz",1,0.3,2.64860447634318,5.74962824362849,0.638650029408319
"Lorenz",1,0.4,8.29013176504124,17.2309935552755,5.84170488326854
"Lorenz",1,0.5,18.884574746407,25.9657018464628,35.1154990919462
"Lorenz",1,0.6,11.8903162980663,-4.64622161878994,43.7731777772222
"Lorenz",1,0.7,-1.08843264014971,-9.06084701040361,30.6706413305871
"Lorenz",1,0.8,-5.77150780996437,-8.30177206646239,26.4474307864435
"Lorenz",1,0.9,-7.57527175392742,-8.99786604171646,25.3876886721537
"Lorenz",1,1,-8.84204412982056,-9.90431614683664,26.3633491410003
"Lorenz",1,1.1,-9.47098654022576,-9.55661194214629,28.1992243082365
"Lorenz",1,1.2,-8.99043842058225,-8.05456525009237,28.7956457675151
"Lorenz",1,1.3,-7.96659575166221,-7.04809759662807,27.5762759397302
"Lorenz",1,1.4,-7.42538956346271,-7.3277158712847,25.8602766047814
"Lorenz",1,1.5,-7.78263249778337,-8.54846174212672,25.0491598822045
"Lorenz",1,1.6,-8.76442084672272,-9.81433606864745,25.917667849088
"Lorenz",1,1.7,-9.52266883445716,-9.81780105728486,27.920303416269
"Lorenz",1,1.8,-9.20455668907277,-8.33523138133441,28.9510838706111
"Lorenz",1,1.9,-8.12684077221434,-7.05505510048079,27.9422327738878
"Lorenz",1,2,-7.39635469560461,-7.10278343649388,26.0971696905385
"Lorenz",1,2.1,-7.59465667793644,-8.25568344108537,24.9657998928266
"Lorenz",1,2.2,-8.55915245985185,-9.69366142425123,25.5220435085215
"Lorenz",1,2.3,-9.50202911172933,-10.0544057270111,27.5633982582958
"Lorenz",1,2.4,-9.40862168574407,-8.67437710060588,29.0372919868301
"Lorenz",1,2.5,-8.32618232614173,-7.12378442077588,28.3261474968298
"Lorenz",1,2.6,-7.40562473627622,-6.89760760576771,26.4002142002289
"Lorenz",1,2.7,-7.41700742217899,-7.93747818839251,24.9529566981312
"Lorenz",1,2.8,-8.32324835166041,-9.4998924615382,25.1444685242405
"Lorenz",1,2.9,-9.4247855874172,-10.2370398041524,27.1202204600005
"Lorenz",1,3,-9.59570866062035,-9.06280349819475,29.0278431516258
"Lorenz",1,3.1,-8.56545113672661,-7.2661253169642,28.7128019430146
"Lorenz",1,3.2,-7.46092370963236,-6.72257142766839,26.769507832511
"Lorenz",1,3.3,-7.25819397936656,-7.6021914865525,25.0201731926091
"Lorenz",1,3.4,-8.06324016785477,-9.23399767348098,24.8057181345314
