condition,time,variable,model,value
damped,0,N,BeddingtonDeAngelis,7.666666666666667
damped,0,P,BeddingtonDeAngelis,1.5824483628464288
damped,8,N,BeddingtonDeAngelis,0.6666666666666666
damped,8,P,BeddingtonDeAngelis,5.394611735511382
damped,16,N,BeddingtonDeAngelis,0.6666666666666666
damped,16,P,BeddingtonDeAngelis,2.125578127662977
damped,24,N,BeddingtonDeAngelis,6
damped,24,P,BeddingtonDeAngelis,3.8720302632235435
damped,32,N,BeddingtonDeAngelis,2
damped,32,P,BeddingtonDeAngelis,3.401593418134247
damped,40,N,BeddingtonDeAngelis,1.6666666666666667
damped,40,P,BeddingtonDeAngelis,2.9068757274267276
oscillatory,0,N,BeddingtonDeAngelis,5.666666666666667
oscillatory,0,P,BeddingtonDeAngelis,1.464752121928496
oscillatory,8,N,BeddingtonDeAngelis,0
oscillatory,8,P,BeddingtonDeAngelis,3.126858381699699
oscillatory,16,N,BeddingtonDeAngelis,0.3333333333333333
oscillatory,16,P,BeddingtonDeAngelis,0.653252223986051
oscillatory,24,N,BeddingtonDeAngelis,3.3333333333333335
oscillatory,24,P,BeddingtonDeAngelis,1.4941023302859262
oscillatory,32,N,BeddingtonDeAngelis,0
oscillatory,32,P,BeddingtonDeAngelis,2.814350836161994
oscillatory,40,N,BeddingtonDeAngelis,0
oscillatory,40,P,BeddingtonDeAngelis,0.6226421515525294
