condition,time,variable,model,value
S_high,0,S,DroopQuota,5
S_high,0,X,DroopQuota,0.05319765986418333
S_high,8,S,DroopQuota,-9.239876372054173e-12
S_high,8,X,DroopQuota,33.628529107095474
S_high,16,S,DroopQuota,2.7431702636718627e-10
S_high,16,X,DroopQuota,90.9230877419823
S_high,24,S,DroopQuota,-1.9921979644645918e-10
S_high,24,X,DroopQuota,60.93629266934393
S_high,32,S,DroopQuota,-1.1953996085635793e-11
S_high,32,X,DroopQuota,41.9590265205013
S_high,40,S,DroopQuota,-8.47722214466328e-11
S_high,40,X,DroopQuota,26.734840027478935
S_high,48,S,DroopQuota,1.241430635515992e-12
S_high,48,X,DroopQuota,17.415091745198897
S_low,0,S,DroopQuota,0.8
S_low,0,X,DroopQuota,0.05096313854134643
S_low,8,S,DroopQuota,-3.5124732758547106e-11
S_low,8,X,DroopQuota,12.858710522422495
S_low,16,S,DroopQuota,-1.415040148125654e-11
S_low,16,X,DroopQuota,13.492814425837519
S_low,24,S,DroopQuota,-7.397616818475693e-11
S_low,24,X,DroopQuota,8.587156791954113
S_low,32,S,DroopQuota,5.580991841965031e-11
S_low,32,X,DroopQuota,5.941894268558726
S_low,40,S,DroopQuota,-4.787269628177738e-10
S_low,40,X,DroopQuota,3.9569592537443996
S_low,48,S,DroopQuota,-1.1224147736055488e-12
S_low,48,X,DroopQuota,2.626235954107615
S_mid,0,S,DroopQuota,2
S_mid,0,X,DroopQuota,0.04596139068696065
S_mid,8,S,DroopQuota,-6.840661028198206e-9
S_mid,8,X,DroopQuota,24.362518739410575
S_mid,16,S,DroopQuota,2.6563112558284546e-10
S_mid,16,X,DroopQuota,36.1265529364023
S_mid,24,S,DroopQuota,1.5725296226425198e-11
S_mid,24,X,DroopQuota,24.63202426938198
S_mid,32,S,DroopQuota,5.855276570857682e-10
S_mid,32,X,DroopQuota,15.759504383388451
S_mid,40,S,DroopQuota,7.451278593171613e-12
S_mid,40,X,DroopQuota,10.047961423908157
S_mid,48,S,DroopQuota,-1.055686480732005e-9
S_mid,48,X,DroopQuota,6.618641735334082
