condition,time,variable,model,value
baseline,0,Rstar,Edelstein,0.01676771405489543
baseline,5,Rstar,Edelstein,0.5746100565713292
baseline,10,Rstar,Edelstein,0.032290766419132796
baseline,15,Rstar,Edelstein,0.4114998243293403
baseline,20,Rstar,Edelstein,0.12571454729932902
baseline,25,Rstar,Edelstein,-8.141135768724238e-4
slower_activation,0,Rstar,Edelstein,-0.024771456416948834
slower_activation,5,Rstar,Edelstein,0.2050582754509852
slower_activation,10,Rstar,Edelstein,0.016427698943814878
slower_activation,15,Rstar,Edelstein,0.12863712221302387
slower_activation,20,Rstar,Edelstein,0.03058653717590158
slower_activation,25,Rstar,Edelstein,-0.00886874354824042
